ID,FamilyImp,FrndsImp,LesrImp,PoltcImp,WorkImp,RelgnImp,FeelHappy,StateofHlth,SatisfLife,Sex,Age,HighEducLev,SocialClass,Income,SizeTown,VeryHappy,AgeGroup4,MostTrusted,MaritalStatus,HwManyMembershp
2765,1,1,1,2,1,2,1,1,10,2,52,8,3,6,1,1,3,1,2,5
2816,1,2,1,3,2,3,1,2,9,1,36,9,2,9,5,1,2,1,2,5
2826,1,1,1,2,2,3,1,1,9,1,42,6,3,6,1,1,2,1,2,5
2842,1,1,2,2,4,3,1,1,10,2,71,9,2,10, ,1,4,0,2,5
2857,1,2,2,3,2,3,2,1,9,2,48,9,,9,7,0,2,0,2,5
2890,2,2,2,3,2,2,2,2,6,1,52,9,3,5,4,0,3,0,3,5
2894,1,2,2,4,2,2,2,2,5,2,43,7,4,7,2,0,2,1,2,5
2955,1,2,2,3,1,3,2,3,,1,69,6,3,4,1,0,4,0,2,5
1124,1,1,2,3,,1,2,2,1,2,68,6,2,9, ,0,4,1,2,6
1173,1,1,3,3,1,3,1,2,10,2,60,8,2,9,7,1,3,1,3,6
1192,1,2,2,2,1,3,1,2,10,1,83,6,2,10,7,1,4,0,2,6
1230,1,3,4,,2,1,2,3,,1,59,3,3,1,7,0,3,0, ,6
1279,1,1,1,2,1,2,2,2,6,2,22,8,5,1,3,0,1,1,1,6
1334,1,1,2,2,2,1,2,3,6,2,24,8,4,10,7,0,1,0,1,6
1408,1,1,2,3,2,3,2,1,7,2,28,9,3,6,7,0,1,0,2,6
1415,1,1,2,2,2,1,2,2,8,2,52,7,2,10,7,0,3,1,2,6
1437,1,1,1,3,1,3,2,2,7,2,35,9,,9,7,0,2,1,1,6
1486,1,2,2,3,1,4,2,2,7,1,53,9,1,10,7,0,3,0,2,6
1531,1,2,2,2,2,2,2,3,6,2,37,6,3, ,7,0,2,0,1,6
1581,1,2,2,3,1,1,2,1,10,2,57,6,4,1, ,0,3,1,3,6
1596,1,1,1,2,1,3,1,1,8,2,38,9,2,10,7,1,2,0,2,6
1612,1,1,2,2,1,3,2,2,7,1,47,9,3,7,7,0,2,1,1,6
1619,1,2,2,2,3,1,2,2,8,,,,, , ,0, ,0,2,6
1623,1,4,3,2,2,1,2,1,9,1,54,9,2,9,7,0,3,1,2,6
1647,1,1,1,3,2,3,2,2,10,1,49,7,2,10,7,0,2,1,2,6
1683,1,1,1,2,2,1,1,2,9,1,39,6,2,8,1,1,2,0,2,6
1823,1,2,2,2,1,3,1,2,10,1,41,6,2,6,4,1,2,0, ,6
1908,1,1,2,3,1,3,2,2,7,2,65,6,3,1,3,0,4,1,3,6
1981,1,1,2,3,2,4,2,3,8,1,50,7,4,4,3,0,3,1,2,6
1986,1,2,,3,,4,1,3,5,1,81,6,3,2,6,1,4,0,2,6
2048,1,2,1,2,2,2,2,2,8,2,39,9,4,8,3,0,2,0,2,6
2134,1,1,2,3,2,2,2,2,8,2,56,7,3,8,6,0,3,0,2,6
2192,1,2,3,3,2,4,1,3,9,1,30,7,,9,6,1,1,1,2,6
2198,1,1,1,2,2,3,1,1,10,2,50,9,1,10,1,1,3,1,2,6
2209,1,1,2,4,1,4,2,2,8,2,66,6,4,2,6,0,4,1,3,6
2222,1,2,2,3,2,2,2,2,6,2,32,9,,6,6,0,1,0,2,6
2233,1,1,1,2,1,2,2,1,10,2,22,7,2,7,5,0,1,0,2,6
2234,1,2,1,3,1,3,2,1,8,2,52,6,5,1,2,0,3,0,3,6
2278,1,1,1,3,2,3,2,2,8,2,64,6,4,3,3,0,3,0,2,6
2289,2,2,1,2,4,2,2,2,9,2,75,8,2,6,4,0,4,0,1,6
2292,1,1,2,3,2,3,1,1,9,1,60,8,2,8,4,1,3,1,2,6
2312,1,2,3,3,3,3,2,2,10,2,54,6,3,10,2,0,3,1,2,6
2352,1,1,2,2,2,2,1,1,8,2,39,7,2,9,7,1,2,1,2,6
2461,1,1,1,3,2,1,1,1,10,1,31,8,2,7,4,1,1,0,2,6
2516,1,1,3,3,2,2,2,1,7,1,22,9,2,10,5,0,1,1,1,6
2542,1,2,2,2,1,3,1,2,10,2,33,8,2,7,5,1,1,1,2,6
2575,1,1,1,3,2,2,1,1,10,2,28,9,4,10,4,1,1,0,1,6
2601,1,1,2,3,4,4,2,1,7,2,60,8,,7,7,0,3,1,3,6
2640,1,1,1,2,1,1,2,1,10,2,51,6,4,2,6,0,3,1, ,6
2663,1,2,2,3,2,2,1,1,10,2,53,8,2,10,7,1,3,1,2,6
2696,1,2,1,3,2,2,1,1,9,2,43,9,2,10,7,1,2,1,2,6
2727,1,2,2,2,2,3,2,1,9,2,58,7,3,9,7,0,3,1,2,6
2772,1,1,2,2,2,4,1,1,8,2,49,8,,6,1,1,2,1,2,6
2778,2,1,1,3,1,4,2,2,8,1,49,6,4,9,4,0,2,1,2,6
2805,1,1,1,4,3,3,2,2,6,1,30,6,3,5,3,0,1,0,2,6
2829,1,1,2,4,4,1,2,1,5,2,77,3,,1, ,0,4,0,3,6
2861,1,1,1,2,2,3,1,1,8,2,40,8,3,5,7,1,2,0,3,6
2922,1,1,1,2,1,1,1,1,8,2,52,6,, ,4,1,3,0,2,6
2934,1,1,3,3,4,1,1,1,10,2,50,8,3,4,7,1,3,1,2,6
2935,1,1,1,3,1,3,1,3,9,1,50,8,2,9,6,1,3,0,2,6
2971,2,2,2,2,2,3,2,2,8,1,62,3,,7,1,0,3,1,2,6
2978,1,1,2,3,2,2,2,3,7,2,35,9,3,9,3,0,2,0,2,6
1008,1,1,1,3,1,3,2,2,6,1,49,8,,6,5,0,2,0,2,7
1167,1,1,1,4,2,3,1,2,9,1,52,8,2,10,7,1,3,1,2,7
1161,1,2,3,4,1,,2,,8,2,20,8,2,1,3,0,1,0,2,7
1316,1,3,2,3,1,4,1,2,8,1,33,9,2,9,7,1,1,1,2,7
1318,1,2,2,3,1,2,2,2,9,2,32,8,2,10,7,0,1,0,2,7
1323,1,2,3,3,1,3,1,1,10,1,27,9,3,5,7,1,1,0,1,7
1342,1,1,1,1,1,1,1,2,10,2,86,9,, ,7,1,4, ,3,7
1361,1,1,2,2,3,3,2,2,5,,,,3,3,7,0, ,0,2,7
1368,1,1,1,2,2,2,2,2,8,1,43,6,3,8,3,0,2,1,2,7
1385,1,1,1,3,4,3,1,2,10,1,69,7,2,7,7,1,4,1,2,7
1419,1,1,2,3,2,4,1,1,8,2,43,9,,7,7,1,2,1,2,7
1443,1,2,2,3,1,1,2,2,10,1,23,8,4,3,6,0,1,0,1,7
1463,1,1,1,3,3,3,2,2,3,1,29,8,, ,7,0,1,0,1,7
1478,1,3,4,4,1,4,3,3,2,2,50,9,2,10,7,0,3,0,2,7
1493,2,1,2,4,2,4,2,2,8,2,82,6,2,4,3,0,4,1,3,7
1527,1,1,1,3,2,1,2,2,8,1,41,8,, ,3,0,2,0,2,7
1633,1,2,1,3,2,4,1,1,10,2,76,9,2,4,7,1,4,0,3,7
1722,1,2,1,2,1,1,2,1,9,2,41,8,3,6,7,0,2,1,2,7
1732,1,1,4,2,1,1,1,2,10,2,32,8,4,9,7,1,1,0,2,7
1741,1,2,2,3,1,3,2,1,8,1,29,9,2,10,7,0,1,1,2,7
1743,1,2,2,3,2,3,2,2,7,2,27,9,4,10,7,0,1,0,3,7
1827,1,1,2,3,1,4,2,2,9,1,48,6,4,9,4,0,2,0,2,7
1888,1,1,2,3,1,3,1,2,10,1,45,6,2,10,3,1,2,1,2,7
1873,1,1,1,2,1,3,2,1,6,1,49,7,4,7,4,0,2,1,2,7
1907,1,2,2,2,2,1,2,2,8,2,77,3,3,2,3,0,4,1,2,7
1971,1,1,1,2,2,2,2,2,9,1,41,8,4,8,4,0,2,0,2,7
2057,1,2,2,2,2,1,1,1,9,2,21,9,4,8,5,1,1,1,1,7
2205,1,1,2,3,2,1,2,1,10,1,70,6,3,4,6,0,4,1,3,7
2212,1,1,2,3,1,3,1,1,10,2,50,8,3,5,6,1,3,0,3,7
2274,1,2,2,3,2,3,1,2,8,1,55,7,4,4,1,1,3,1,2,7
2331,1,1,2,3,2,4,2,2,8,1,41,9,2,10,7,0,2,1,2,7
2369,1,1,2,3,1,4,2,2,8,1,47,8,2,10,7,0,2,0,1,7
2375,1,1,1,3,1,2,1,1,10,2,35,9,4,5,4,1,2,0,1,7
2466,1,2,2,3,2,1,1,2,10,2,61,8,2,9,7,1,3,1,2,7
2497,1,2,1,3,4,4,1,3,10,1,63,8,3,4,5,1,3,0,2,7
2563,1,1,1,3,2,4,1,1,9,1,48,8,3,6,1,1,2,1,2,7
2621,1,2,1,2,2,1,2,2,6,2,53,9,, ,7,0,3, ,2,7
2622,1,1,1,2,1,4,1,1,9,2,42,8,2,10,7,1,2,1,2,7
2676,1,1,1,3,2,3,2,2,9,1,59,7,3,6,7,0,3,1,2,7
2731,1,1,2,3,1,4,2,2,7,1,43,9,2,8,7,0,2,1,1,7
2769,1,1,2,3,,1,1,2,9,2,85,8,, ,2,1,4,1,3,7
2928,1,2,2,4,2,4,1,1,8,1,35,7,4,6,2,1,2,1,2,7
1024,1,2,2,3,2,4,2,2,,1,53,9,2,10,1,0,3,1,2,8
1052,1,1,2,2,1,3,2,3,7,1,74,9,2,10,3,0,4,1,2,8
1080,1,1,2,2,1,1,2,2,10,2,56,6,2,8,7,0,3,1,2,8
1193,1,2,2,3,2,3,1,2,9,1,79,6,3,6,7,1,4,1,2,8
1214,1,1,1,,2,1,2,3,10,1,62,3,3,6,7,0,3,0,2,8
1320,1,1,2,3,1,4,2,2,8,2,30,8,4,2,7,0,1,0,3,8
1337,1,2,3,3,1,1,2,2,9,1,44,8,4,7,6,0,2,0,2,8
1343,1,1,1,2,2,3,1,1,10,2,35,7,3,9,1,1,2,1,2,8
1359,1,2,2,4,2,4,2,2,7,1,37,9,,10,7,0,2,1,2,8
1371,1,2,2,2,3,3,2,2,7,2,20,9,2,9,3,0,1,0,1,8
1375,1,2,1,2,1,4,2,2,,1,54,6,4,7,3,0,3,0,2,8
1582,1,2,2,3,2,4,2,1,4,2,53,8,2,10,7,0,3,0,2,8
1606,1,1,1,2,2,4,1,1,8,1,24,9,3,10,6,1,1,1,1,8
1628,1,1,2,3,2,4,2,3,8,1,23,9,2,10,7,0,1,0,1,8
1729,1,1,1,2,2,3,2,1,9,1,33,6,4, ,7,0,1,0,1,8
1758,1,2,2,3,2,3,2,2,7,2,45,9,2,10,7,0,2,1,2,8
1779,1,2,1,2,1,2,3,3,5,1,52,7,4,6,3,0,3,0,2,8
1808,1,1,1,3,1,4,2,1,9,1,56,9,2, ,4,0,3,1,2,8
1846,1,2,1,3,2,2,2,1,9,1,45,8,2,9,1,0,2,1, ,8
1887,1,1,1,,1,1,1,2,10,2,65,7,, ,3,1,4,0,3,8
2159,1,2,1,2,1,2,2,2,7,1,28,9,3,9,5,0,1,1,1,8
2170,1,1,1,2,1,4,1,2,9,2,61,1,2,4,3,1,3,1,2,8
2286,1,2,2,2,2,1,2,2,6,2,35,9,3,7,4,0,2,0,2,8
2300,1,1,1,2,1,4,2,1,7,2,33,9,2,5,1,0,1,1,1,8
2314,1,1,1,1,2,3,1,1,9,2,57,8,1,10,7,1,3,1,2,8
2336,2,2,2,4,2,3,2,3,7,1,76,6,3,2,7,0,4,1,2,8
2368,1,3,3,3,1,4,2,2,,1,57,9,,10,7,0,3,1,2,8
2379,1,1,1,2,2,4,1,1,9,1,42,9,2,8,7,1,2,1,1,8
2398,1,2,1,2,1,1,2,2,8,,,,3,9,7,0, ,0,2,8
2423,1,2,1,3,2,4,1,1,9,1,55,8,2,9,4,1,3,0,2,8
2424,1,2,1,3,,1,1,2,10,2,80,8,, ,5,1,4,1,3,8
2427,1,1,1,2,1,1,1,2,,1,64,6,3,7,7,1,3,1,2,8
2452,1,1,1,2,2,3,2,2,8,2,38,8,4,6,4,0,2,1,1,8
2469,1,1,1,3,2,4,2,1,10,2,45,9,2,5,7,0,2,0,1,8
2508,1,2,3,3,1,4,2,2,5,2,35,7,2,4,4,0,2,0,2,8
2591,1,2,2,4,1,4,2,1,7,1,40,8,2,8,1,0,2,1,1,8
2617,1,1,1,1,2,3,2,2,8,2,58,7,, ,7,0,3,1,2,8
2657,1,1,1,3,2,4,2,2,8,2,39,9,3,5,7,0,2,0,2,8
2668,1,2,1,3,1,4,2,2,8,1,50,9,,8,7,0,3,1,2,8
2746,1,1,1,2,2,3,1,1,9,2,36,8,4,8,1,1,2,1,2,8
2825,1,2,2,3,2,1,1,2,9,2,55,6,4,5,1,1,3,0,2,8
2852,1,,2,3,2,2,2,3,6,2,59,6,2,7,7,0,3,1,2,8
2898,1,1,2,3,2,3,1,1,10,2,20,9,2,9,6,1,1,0,1,8
2968,1,2,2,3,1,4,1,1,9,1,58,6,2,7,3,1,3,0,2,8
1018,1,1,2,1,2,2,2,3,7,2,37,9,5,1,4,0,2,0,1,9
1131,1,2,2,2,2,2,1,2,8,2,61,8,2,5,7,1,3,0,2,9
1179,1,2,2,3,1,2,2,2,8,2,51,9,2,10,7,0,3,1,2,9
1186,1,1,1,2,1,3,1,1,9,2,37,7,2,10,7,1,2,1,2,9
1369,1,2,2,3,2,4,1,1,10,2,74,8,2,7,1,1,4,1,3,9
1377,1,1,1,3,1,4,2,1,9,2,52,6,3,9,2,0,3,0,1,9
1388,1,1,2,2,2,1,1,1,8,2,52,9,2,7,3,1,3,1,2,9
1444,1,1,1,3,2,4,2,2,7,2,52,9,2,9,7,0,3,1,2,9
1489,1,2,2,2,1,3,3,1,3,2,74,6,3,3,3,0,4,0,3,9
1635,1,2,2,3,4,3,1,2,10,1,66,9,3,7,7,1,4,1,2,9
1786,1,2,2,3,2,2,1,2,9,2,27,9,2,10,1,1,1,0,2,9
1865,1,1,2,3,2,3,2,2,8,2,58,8,3,6,4,0,3,1,2,9
1962,1,1,1,3,2,3,2,1,9,2,26,9,, ,7,0,1,1,1,9
1967,1,2,2,4,1,4,2,1,3,1,52,7,5,8,6,0,3,0,3,9
2034,1,2,2,3,1,3,2,1,10,1,76,6,3,4,5,0,4,0,2,9
2069,2,2,2,4,2,4,2,2,4,1,41,6,4,1,3,0,2,1,1,9
2095,1,1,2,3,1,2,1,1,8,2,42,9,4,8,6,1,2,1,2,9
2249,1,1,1,4,2,4,2,2,7,1,42,8,2,7,3,0,2,0,2,9
2256,1,1,2,1,1,3,2,2,7,2,24,6,3,2,3,0,1,0,1,9
2442,1,1,1,3,3,3,2,2,8,2,66,6,3,7,4,0,4,1,2,9
2568,1,2,1,2,1,3,2,2,8,2,59,6,3,4,4,0,3,0,2,9
2623,1,1,2,3,2,1,2,2,8,2,22,8,2,7,7,0,1,0,1,9
2823,1,2,2,2,1,3,2,1,7,1,48,9,3,6,1,0,2,1,2,9
2908,1,2,1,3,2,2,1,2,8,1,66,7,4,5,3,1,4,1,2,9
2931,1,1,2,2,1,3,1,3,10,2,46,8,3,9,1,1,2,1,2,9
1184,3,2,2,2,2,4,2,2,7,2,50,9,4,10,7,0,3,1,2,10
1191,1,1,1,2,3,4,1,2,8,2,36,9,2,10,7,1,2,1,2,10
1386,1,2,1,3,1,1,1,1,9,2,64,9,3,9,7,1,3,1,2,10
1629,1,1,1,2,,4,1,1,10,2,64,9,2,10,7,1,3,1,2,10
1726,1,2,2,1,1,1,2,2,8,1,36,9,4,8,1,0,2,1,2,10
1757,1,2,2,,2,2,1,1,9,2,75,3,4,2,2,1,4,1,2,10
1771,1,1,2,3,1,3,2,2,7,2,54,6,, ,3,0,3,1,3,10
1897,2,2,1,2,1,2,1,2,10,2,66,8,, ,3,1,4,0,2,10
1902,1,1,2,2,2,1,1,1,8,1,30,8,,4,3,1,1,0,2,10
1996,1,2,1,2,3,1,1,1,10,2,45,9,2,10,5,1,2,1,2,10
2007,1,,,3,,2,1,1,9,2,34,8,,7,6,1,1,0,2,10
2074,1,1,2,2,2,4,2,2,8,1,73,6,3,6,6,0,4,1,2,10
2106,1,1,1,1,1,1,1,2,,,,,4,9,3,1, ,0,2,10
2206,1,2,3,2,2,1,2,3,4,1,71,9,2,2,6,0,4,0,3,10
2319,1,1,1,2,2,3,1,1,9,1,39,9,2,10,7,1,2,1,2,10
2399,1,2,4,3,4,4,2,2,8,2,68,6,, ,7,0,4,0,3,10
2652,1,1,1,3,2,4,2,1,8,2,48,9,4,7,6,0,2,0,2,10
2684,1,1,1,2,2,1,1,1,10,1,64,8,4,5,7,1,3,1,2,10
2758,1,2,2,3,2,1,2,3,10,1,64,6,4,1,1,0,3,0,2,10
2811,1,1,2,3,1,3,2,1,9,1,59,8,2,8,4,0,3,1,2,10
2880,1,2,2,2,1,2,2,2,6,2,61,6,4,3,7,0,3,1,3,10
2897,1,2,2,3,1,2,1,1,9,2,38,7,3,5,2,1,2,1,2,10
1097,1,2,1,3,1,1,3,2,5,1,28,8,4,2,7,0,1,0,3,11
1142,3,2,2,2,1,4,2,2,5,2,57,9,3,8,7,0,3,1,1,11
1177,1,2,2,3,2,1,1,2,9,2,42,9,2,10,7,1,2,0,2,11
1188,1,1,1,3,2,1,2,3,4,2,57,8,2,1,7,0,3,0,3,11
1347,1,2,1,2,1,2,2,1,8,1,41,8,4,9,1,0,2,0,1,11
1497,1,3,3,3,2,4,2,2,7,1,42,9,4,8,3,0,2,1,2,11
1521,1,2,1,1,1,2,1,2,10,,41,6,4,6,6,1,2,0,2,11
1615,1,1,1,1,1,2,2,2,7,1,32,9,2,10,7,0,1,0,2,11
1926,1,3,2,3,1,3,2,1,10,1,44,8,4,7,6,0,2,1,2,11
2188,1,2,1,2,2,2,2,2,10,2,48,9,4,5,5,0,2,1,2,11
2253,1,1,1,2,2,4,1,3,5,1,44,7,3,6,3,1,2,1,2,11
2258,1,1,2,2,2,1,2,2,7,1,21,8,4,2,4,0,1,1,1,11
2344,1,1,2,1,1,1,1,2,9,2,47,6,2,7,7,1,2,1,2,11
2362,1,1,2,2,1,4,2,2,6,2,55,7,3,8,7,0,3,1,3,11
2467,1,2,1,3,2,1,1,2,10,2,64,8,4,5,6,1,3,1,2,11
2501,1,1,2,2,2,2,2,3,5,2,76,6,2,2,4,0,4,0,3,11
2560,1,2,2,3,1,3,2,2,6,2,47,8,,4,3,0,2,1,3,11
2645,1,2,2,2,1,1,1,1,10,2,38,6,4,7,7,1,2,1,2,11
2702,1,2,2,2,2,3,1,1,9,2,55,8,2,7,7,1,3,1,2,11
2709,1,1,1,1,1,1,2,3,10,2,77,9,2, ,7,0,4,1,3,11
2933,1,1,2,1,2,1,1,3,8,1,67,8,,6,5,1,4,1,2,11
1203,1,2,1,2,2,4,2,2,8,1,35,8,2,9,7,0,2,1,2,12
1264,1,2,3,3,1,1,2,3,8,2,49,6,3,7,7,0,2,0,2,12
1350,1,1,2,2,1,2,2,1,3,2,68,8,2, ,7,0,4,0,3,12
1392,1,2,2,2,1,2,1,1,8,2,69,6,2,10,7,1,4,0,2,12
1589,1,2,2,3,1,1,2,2,7,1,51,8,4,7,6,0,3,1,2,12
1738,1,1,1,2,2,1,2,2,8,1,33,8,4,6,7,0,1,0,2,12
1761,1,1,1,3,1,3,1,1,10,2,52,8,, ,6,1,3,1,2,12
1796,1,1,1,3,2,4,1,1,8,2,40,8,3,6,3,1,2,0,3,12
1936,1,2,1,3,3,3,2,2,10,1,64,7,2,7,7,0,3,0,2,12
2087,1,2,1,2,2,2,1,1,10,2,41,6,4,5,6,1,2,1,2,12
2117,1,1,3,2,2,1,2,2,1,2,33,8,5,2,6,0,1,0,2,12
2177,1,1,2,2,2,2,2,2,9,1,75,9,3,4,5,0,4,1,2,12
2203,1,1,2,2,,2,2,2,10,1,78,3,4,4,6,0,4,0,2,12
2736,1,1,2,3,1,1,1,2,9,2,55,9,2,7,7,1,3,0,2,12
2787,1,2,2,2,1,1,1,2,9,1,61,9,2,9,1,1,3,1,2,12
2913,1,1,1,3,1,3,2,2,9,2,37,7,4,4,3,0,2,1,2,12
1012,1,2,2,2,1,2,1,1,10,1,32,6,4,4,5,1,1,0,2,13
1373,1,1,1,2,2,4,1,2,8,2,57,8,3,4,1,1,3,1,3,13
1383,1,1,1,3,3,1,1,2,9,1,77,9,2,5,7,1,4,1,2,13
1538,1,2,2,4,2,2,2,2,7,1,22,8,3,7,5,0,1,1,1,13
2035,1,2,1,1,1,1,1,1,10,2,61,8,3,6,5,1,3,0,2,13
2473,1,2,2,2,1,1,1,2,8,1,37,9,2,10,7,1,2,1,1,13
2510,1,1,1,2,,3,2,2,9,2,78,8,2,7,3,0,4,0,2,13
2766,1,1,1,2,2,3,1,1,9,1,51,8,4,5,1,1,3,1,2,13
1033,1,1,1,2,1,2,2,1,6,1,,8,4,4,2,0, ,0,2,14
1066,1,1,2,1,1,1,1,1,9,1,61,7,2,7,1,1,3,1,2,14
1354,1,1,1,1,1,1,1,1,10,2,62,7,2, ,7,1,3,1,1,14
1384,1,1,2,2,2,1,2,2,8,2,54,9,3,9,7,0,3,1,2,14
1687,1,1,1,2,1,1,1,1,9,2,52,8,3,6,4,1,3,0,3,14
1991,1,2,2,3,2,3,2,2,5,2,45,8,3,7,5,0,2,0,2,14
2123,2,2,1,1,1,1,2,2,6,1,55,6,,5,7,0,3,1,3,14
2485,1,1,2,3,2,4,2,2,4,1,49,9,2,1,7,0,2,0, ,14
2505,1,1,1,2,2,1,1,1,10,2,54,9,3,3,4,1,3,1,3,14
2514,1,2,3,3,2,1,1,2,9,2,59,9,,10,5,1,3,1, ,14
2810,1,2,2,3,2,2,2,2,8,1,61,6,4,7,4,0,3,1,2,14
2837,1,1,1,4,2,2,1,1,10,2,26,9,2,10,1,1,1, ,2,14
1641,1,1,2,2,1,2,1,1,10,1,51,8,3,9,6,1,3,1,2,15
