Y,hDays,,,,,,
0.3509,0.04,,,,,,
0.3318,0.05,,,,,,
0.3431,0.06,,,,,,
0.323,0.07,,,,,,
0.3494,0.1,,,,,,
0.3546,0.11,,,,,,
0.3438,0.12,,,,,,
0.3464,0.13,,,,,,
0.3367,0.14,,,,,,
0.3505,0.17,,,,,,
0.3451,0.18,,,,,,
0.3353,0.19,,,,,,
0.3215,0.2,,,,,,
0.3373,0.21,,,,,,
0.3589,0.24,,,,,,
0.3388,0.25,,,,,,
0.3421,0.26,,,,,,
0.3427,0.27,,,,,,
0.3278,0.28,,,,,,
0.3359,0.31,,,,,,
0.3287,0.32,,,,,,
0.3403,0.33,,,,,,
0.3409,0.34,,,,,,
0.3355,0.35,,,,,,
0.33,0.38,,,,,,
0.3488,0.39,,,,,,
0.3434,0.4,,,,,,
0.3382,0.41,,,,,,
0.3423,0.42,,,,,,
0.3446,0.45,,,,,,
0.343,0.46,,,,,,
0.3436,0.47,,,,,,
0.338,0.48,,,,,,
0.333,0.49,,,,,,
0.3381,0.53,,,,,,
0.3395,0.54,,,,,,
0.3447,0.55,,,,,,
0.3487,0.56,,,,,,
0.3374,0.59,,,,,,
0.3391,0.6,,,,,,
0.3421,0.61,,,,,,
0.3421,0.62,,,,,,
0.3364,0.63,,,,,,
0.3415,0.66,,,,,,
0.3286,0.67,,,,,,
0.3348,0.68,,,,,,
0.3282,0.69,,,,,,
0.3267,0.7,,,,,,
0.3363,0.73,,,,,,
0.3388,0.74,,,,,,
0.3318,0.75,,,,,,
0.3377,0.76,,,,,,
0.3261,0.77,,,,,,
0.3362,0.8,,,,,,
0.3289,0.81,,,,,,
0.3316,0.82,,,,,,
0.333,0.83,,,,,,
0.3383,0.84,,,,,,
0.3252,0.87,,,,,,
0.3334,0.88,,,,,,
0.3288,0.89,,,,,,
0.3282,0.9,,,,,,
0.3124,0.91,,,,,,
0.3012,0.94,,,,,,
0.3361,0.95,,,,,,
0.3202,0.96,,,,,,
0.316,0.98,,,,,,
0.3115,1.01,,,,,,
0.3274,1.02,,,,,,
0.3256,1.03,,,,,,
0.3034,1.08,,,,,,
0.3144,1.09,,,,,,
0.3203,1.1,,,,,,
0.3258,1.11,,,,,,
0.3145,1.12,,,,,,
0.3203,1.15,,,,,,
0.3073,1.16,,,,,,
0.3238,1.17,,,,,,
0.3233,1.18,,,,,,
0.3108,1.19,,,,,,
0.3094,1.23,,,,,,
0.3086,1.24,,,,,,
0.3152,1.25,,,,,,
0.3122,1.29,,,,,,
0.3018,1.3,,,,,,
0.3,1.31,,,,,,
0.2998,1.32,,,,,,
0.3201,1.33,,,,,,
0.3059,1.36,,,,,,
0.3157,1.37,,,,,,
0.318,1.39,,,,,,
0.3193,1.4,,,,,,
0.3106,1.43,,,,,,
0.3085,1.44,,,,,,
0.295,1.45,,,,,,
0.3286,1.46,,,,,,
0.3069,1.47,,,,,,
0.3064,1.5,,,,,,
0.3072,1.51,,,,,,
0.3198,1.52,,,,,,
0.3006,1.53,,,,,,
0.291,1.54,,,,,,
0.3009,1.57,,,,,,
0.2961,1.58,,,,,,
0.3096,1.59,,,,,,
0.308,1.6,,,,,,
0.2869,1.61,,,,,,
0.291,1.64,,,,,,
0.3025,1.65,,,,,,
0.2969,1.66,,,,,,
0.2995,1.67,,,,,,
0.3119,1.68,,,,,,
0.3121,1.71,,,,,,
0.2952,1.72,,,,,,
0.3074,1.73,,,,,,
0.2959,1.74,,,,,,
0.2951,1.75,,,,,,
0.3047,1.78,,,,,,
0.3074,1.79,,,,,,
0.3119,1.8,,,,,,
0.2976,1.81,,,,,,
0.3072,1.82,,,,,,
0.2972,1.85,,,,,,
0.2973,1.86,,,,,,
0.3033,1.87,,,,,,
0.2967,1.88,,,,,,
0.297,1.89,,,,,,
0.3011,1.92,,,,,,
0.3069,1.93,,,,,,
0.3064,1.94,,,,,,
0.2986,1.95,,,,,,
0.2948,1.96,,,,,,
0.3005,2,,,,,,
0.3115,2.01,,,,,,
0.3128,2.02,,,,,,
0.3096,2.03,,,,,,
0.3082,2.06,,,,,,
0.3075,2.07,,,,,,
0.3092,2.08,,,,,,
0.2919,2.09,,,,,,
0.3119,2.1,,,,,,
0.3059,2.13,,,,,,
0.3046,2.14,,,,,,
0.3109,2.15,,,,,,
0.3091,2.16,,,,,,
0.3122,2.17,,,,,,
0.3055,2.2,,,,,,
0.3089,2.21,,,,,,
0.3062,2.22,,,,,,
0.2957,2.23,,,,,,
0.3097,2.24,,,,,,
0.3008,2.28,,,,,,
0.2987,2.29,,,,,,
0.3162,2.3,,,,,,
0.3046,2.31,,,,,,
0.3116,2.34,,,,,,
0.3087,2.35,,,,,,
0.2982,2.36,,,,,,
0.2983,2.37,,,,,,
0.2878,2.38,,,,,,
0.3071,2.41,,,,,,
0.3041,2.42,,,,,,
0.3063,2.43,,,,,,
0.2975,2.44,,,,,,
0.2984,2.14,,,,,,
0.2968,2.17,,,,,,
0.294,2.18,,,,,,
0.3058,2.19,,,,,,
0.3017,2.2,,,,,,
0.3071,2.21,,,,,,
0.2995,2.24,,,,,,
0.2982,2.25,,,,,,
0.3051,2.26,,,,,,
0.2927,2.27,,,,,,
0.3,2.28,,,,,,
0.3174,2.31,,,,,,
0.3,2.32,,,,,,
0.2961,2.33,,,,,,
0.305,2.34,,,,,,
0.3086,2.35,,,,,,
0.3087,2.38,,,,,,
0.3267,2.39,,,,,,
0.3017,2.4,,,,,,
0.3027,2.41,,,,,,
0.3025,2.42,,,,,,
0.3174,2.45,,,,,,
0.3,2.46,,,,,,
0.3111,2.47,,,,,,
0.3061,2.48,,,,,,
0.3089,2.49,,,,,,
0.3106,2.52,,,,,,
0.3089,2.53,,,,,,
0.3076,2.54,,,,,,
0.3076,2.55,,,,,,
0.3068,2.56,,,,,,
0.3091,2.59,,,,,,
0.3084,2.6,,,,,,
0.3087,2.61,,,,,,
0.3145,2.62,,,,,,
0.3101,2.63,,,,,,
0.3102,2.67,,,,,,
0.3091,2.68,,,,,,
0.306,2.69,,,,,,
0.3062,2.7,,,,,,
0.3149,2.73,,,,,,
0.3137,2.74,,,,,,
0.3089,2.75,,,,,,
0.3142,2.76,,,,,,
0.3037,2.77,,,,,,
0.3041,2.8,,,,,,
0.3051,2.81,,,,,,
0.308,2.82,,,,,,
0.3091,2.83,,,,,,
0.3094,2.84,,,,,,
0.2998,2.87,,,,,,
0.3103,2.88,,,,,,
0.3098,2.89,,,,,,
0.3133,2.9,,,,,,
0.3123,2.91,,,,,,
0.3075,2.94,,,,,,
0.3096,2.95,,,,,,
0.3028,2.96,,,,,,
0.3166,2.97,,,,,,
0.3269,2.98,,,,,,
0.3282,3.01,,,,,,
0.3197,3.02,,,,,,
0.3142,3.33,,,,,,
0.3147,3.34,,,,,,
0.3129,3.05,,,,,,
0.3074,3.08,,,,,,
0.3078,3.1,,,,,,
0.305,3.11,,,,,,
0.3103,3.12,,,,,,
0.3158,3.16,,,,,,
0.3014,3.17,,,,,,
0.3097,3.18,,,,,,
0.3119,3.19,,,,,,
0.3138,3.22,,,,,,
0.3103,3.23,,,,,,
0.3049,3.24,,,,,,
0.3082,3.25,,,,,,
0.3135,3.26,,,,,,
0.3294,3.29,,,,,,
0.33,3.3,,,,,,
0.3385,3.31,,,,,,
0.338,3.32,,,,,,
0.344,3.33,,,,,,
0.3093,3.38,,,,,,
0.3059,3.39,,,,,,
0.3136,3.4,,,,,,
0.3077,3.43,,,,,,
0.3097,3.44,,,,,,
0.3114,3.45,,,,,,
0.3027,3.46,,,,,,
0.2986,3.47,,,,,,
0.303,3.5,,,,,,
0.3042,3.51,,,,,,
0.3073,3.52,,,,,,
0.3159,3.53,,,,,,
0.305,3.54,,,,,,
0.3026,3.57,,,,,,
0.3165,3.58,,,,,,
0.3119,3.59,,,,,,
0.3168,3.6,,,,,,
0.3016,3.61,,,,,,
0.3079,3.64,,,,,,
0.3133,3.65,,,,,,
0.3162,3.66,,,,,,
0.3057,3.67,,,,,,
0.3066,3.68,,,,,,
0.3144,3.71,,,,,,
0.3156,3.72,,,,,,
0.3101,3.73,,,,,,
0.3104,3.75,,,,,,
0.3193,3.78,,,,,,
0.2981,3.79,,,,,,
0.3144,3.8,,,,,,
0.3148,3.81,,,,,,
0.3103,3.82,,,,,,
0.31,3.85,,,,,,
0.3131,3.86,,,,,,
0.3067,3.87,,,,,,
0.314,3.88,,,,,,
0.303,3.89,,,,,,
0.3094,3.92,,,,,,
0.3075,3.93,,,,,,
0.3092,3.94,,,,,,
0.3126,3.95,,,,,,
0.3156,3.96,,,,,,
0.3122,3.99,,,,,,
0.3093,4,,,,,,
0.3034,4.01,,,,,,
0.3145,4.02,,,,,,
0.2988,4.03,,,,,,
0.3014,4.06,,,,,,
0.3052,4.07,,,,,,
0.3125,4.08,,,,,,
0.2994,4.09,,,,,,
0.3042,4.1,,,,,,
0.3053,4.13,,,,,,
0.3095,4.14,,,,,,
0.3027,4.15,,,,,,
0.2994,4.16,,,,,,
0.3104,4.17,,,,,,
0.3056,4.2,,,,,,
0.3061,4.21,,,,,,
0.3005,4.22,,,,,,
0.3163,4.23,,,,,,
0.2999,4.24,,,,,,
0.2984,4.27,,,,,,
0.2872,4.28,,,,,,
0.3018,4.29,,,,,,
0.3119,4.3,,,,,,
0.3019,4.34,,,,,,
0.2865,4.35,,,,,,
0.2884,4.36,,,,,,
0.307,4.37,,,,,,
0.308,4.42,,,,,,
0.306,4.43,,,,,,
0.3103,4.44,,,,,,
0.3114,4.45,,,,,,
0.3009,4.48,,,,,,
0.3018,4.49,,,,,,
0.312,4.5,,,,,,
0.3021,4.51,,,,,,
0.2984,4.52,,,,,,
0.3028,4.55,,,,,,
0.3006,4.57,,,,,,
0.3178,4.58,,,,,,
0.2991,4.59,,,,,,
0.3084,4.64,,,,,,
0.309,4.65,,,,,,
0.3042,4.66,,,,,,
0.3152,4.69,,,,,,
0.3091,4.7,,,,,,
0.301,4.71,,,,,,
0.3024,4.72,,,,,,
0.2971,4.73,,,,,,
0.2932,4.76,,,,,,
0.3077,4.77,,,,,,
0.3115,4.78,,,,,,
0.2901,4.79,,,,,,
0.313,4.8,,,,,,
0.3151,4.83,,,,,,
0.3003,4.84,,,,,,
0.3062,4.85,,,,,,
0.298,4.86,,,,,,
0.3098,4.87,,,,,,
0.3061,4.9,,,,,,
0.3096,4.91,,,,,,
0.2903,4.92,,,,,,
0.308,4.93,,,,,,
0.3084,4.94,,,,,,
0.3169,4.97,,,,,,
0.3193,4.98,,,,,,
0.3136,4.99,,,,,,
0.3116,5,,,,,,
0.3161,5.01,,,,,,
0.3028,5.04,,,,,,
0.3059,5.05,,,,,,
0.3119,5.06,,,,,,
0.3038,5.07,,,,,,
0.3049,5.08,,,,,,
0.3128,5.11,,,,,,
0.3167,5.12,,,,,,
0.3085,5.13,,,,,,
0.3148,5.14,,,,,,
0.3131,5.15,,,,,,
0.3143,5.18,,,,,,
0.3067,5.19,,,,,,
0.3165,5.2,,,,,,
0.3039,5.21,,,,,,
0.307,5.25,,,,,,
0.3157,5.26,,,,,,
0.304,5.27,,,,,,
0.3089,5.28,,,,,,
0.3145,5.29,,,,,,
0.299,5.32,,,,,,
0.3129,5.33,,,,,,
0.3075,5.34,,,,,,
0.3016,5.35,,,,,,
0.3103,5.36,,,,,,
0.3064,5.39,,,,,,
0.312,5.4,,,,,,
0.303,5.41,,,,,,
0.3052,5.42,,,,,,
0.3029,5.43,,,,,,
0.3091,5.46,,,,,,
0.3076,5.47,,,,,,
